Sample,Actual_Bsi,BSiPercent.1 comps,BSiPercent.2 comps,BSiPercent.3 comps
FISK-10,20.37,15.27114758,15.23567922,12.57087173
FISK-110,11.82,9.527477991,11.40171626,8.458593578
FISK-270,11.29,13.25297829,12.82815147,10.28408194
LSA1-30A,5.33,9.99295216,8.374604301,8.216713518
LSA1-30B,4.98,9.99295216,8.374604301,8.216713518
LSA2-35,10.61,12.03213814,11.62721119,8.644412034
LSA2-50A,15.3,16.89563277,16.54173924,15.1109635
LSA2-55,10.7,11.00552216,11.16626155,9.526483632
LSA3-55,10.68,14.8930973,12.96074067,11.05613018
LSA3-95A,16.29,14.63456805,14.97156351,17.28183699
LSA3-95B,19.96,14.63456805,14.97156351,17.28183699
NANDB-2,12.2,14.85798013,19.69592717,20.687915
NANDB-4,30.61,12.39647582,17.31855082,19.6224833
NANA1A-109,19.37,16.08799841,18.62295928,16.32930635
NANA1A 116,5.45,9.509311018,4.889967033,4.533492322
NANA2-132A,21.1,21.12020513,18.45098183,20.5981437
NANA2-132B,21.34,21.12020513,18.45098183,20.5981437
NANA2-132C,22.39,21.12020513,18.45098183,20.5981437
NANA2-50A,6.57,5.126265041,6.669965594,7.044236629
NANA2-50B,6.68,5.126265041,6.669965594,7.044236629
NANA2-55A,5.74,5.745730911,6.031675277,6.049565442
NANA2-55B,5.69,5.745730911,6.031675277,6.049565442
NANA2-60A,8.43,9.56272344,11.11685768,11.0911158
NANA2-60B,8.32,9.56272344,11.11685768,11.0911158
NANA2-65A,14.43,7.721268222,11.39255364,12.44123713
NANA2-65B,10.59,7.721268222,11.39255364,12.44123713
NANB3A1-131.5A,4.91,9.677768026,10.11545651,8.934512522
NANB3A1-131.5B,4.84,9.677768026,10.11545651,8.934512522
NANB3A2-10.5,8.03,15.99482748,14.59384379,14.04608987
NANB3A2-6 ,4.09,7.986692821,4.048931792,4.251313074
NANB3A2-6B,4.11,7.986692821,4.048931792,4.251313074
NANDB-13.5A,14.65,12.41989496,14.39437141,14.99205587
NANDB-13.5B,13.55,12.41989496,14.39437141,14.99205587
NANDB-17A,4.79,6.422505836,5.432460658,5.465973417
NANDB-17B,4.74,6.422505836,5.432460658,5.465973417
NANDB-20A,7.59,7.518252894,8.410449574,8.641534472
NANDB-20B,7.64,7.518252894,8.410449574,8.641534472
SS,0,-1.830206973,-4.46726119,-3.111914106
WQ,0,-1.692240205,-4.506211899,-3.193530121
