"","loadings_1","loadings_2","loadings_3","weighted_loading_1","weighted_loading_2","weighted_loading_3","wavenumber"
"V1",-0.000256906036615308,-0.00210802791103595,0.00126736435008532,-0.00139900694571845,-0.00519843856116961,-0.00674377382799492,7496.97825
"V2",0.0018918835626035,-0.000702254330656331,0.00204036873019193,0.00127553013198399,-0.00280542237161662,-0.00458945143419368,7495.04952
"V3",0.00375566239881783,-6.49722610745491e-05,0.0018014706537634,0.00352011225036446,-0.00107214079338293,-0.00219780396765963,7493.12079
"V4",0.00396740777551293,-9.62310093468981e-05,0.000747592123503491,0.003885041999786,-0.000374899819487675,-0.000608100230441731,7491.19206
"V5",0.00323500282427565,-0.00103367261866658,0.000204056391020297,0.0032112011882364,-0.000108336611606866,0.00201923221635309,7489.26333
"V6",0.00316527381110519,-0.00142485616613195,1.88232063105538e-05,0.00314355762514436,-9.88443819635545e-05,0.00289357130105052,7487.33459
"V7",0.00329016503214564,-0.000809455800500742,-0.00065438275822299,0.0030673801256747,-0.00101403793606513,-0.000446431172968802,7485.40586
"V8",0.00264298345500616,-0.000363545250986402,-0.00141293712486762,0.0019716093261001,-0.00305585709008634,-0.00587505809835912,7483.47713
"V9",0.001821605250981,-0.00018371671625508,-0.0020152241714422,0.000718067606844848,-0.00502291224641829,-0.0105599041225972,7481.5484
"V10",0.0013280879167101,-0.000443371822471236,-0.00237019432504982,3.44857032833365e-05,-0.00588801880419899,-0.011881096713299,7479.61967
"V11",0.00116284916595905,-0.00121446212977789,-0.00182898012052012,-3.5626046277071e-05,-0.0054550344091632,-0.00925361176586762,7477.69094
"V12",0.00142901572138313,-0.00177566387284596,-0.000932488349357038,0.000420935930522275,-0.00458842192995193,-0.00613789114698162,7475.76221
"V13",0.00145626777209959,-0.00165032937160962,-0.00112558471130484,0.00061362352428111,-0.00383541797077033,-0.00476821528758089,7473.83348
"V14",0.000929995124205641,-2.14282590218811e-05,-0.00209893984436617,0.000487442354177341,-0.00201434336207133,-0.00434886176462645,7471.90474
"V15",0.000896379216673547,0.00221621814165742,-0.00218036747354525,0.00105520773348876,0.00072293111742108,-0.00325859281881967,7469.97601
"V16",0.00157067323371189,0.00282537764167087,-0.000932301966591882,0.00214150598535776,0.00259822837411512,-0.00049567628998573,7468.04728
"V17",0.00202695451654149,0.00216847595545996,0.000497032833544327,0.00270257867254082,0.00307520170714392,0.00197862164146723,7466.11855
"V18",0.00195439711065415,0.00127559362127763,0.000827441347912989,0.00243766473533087,0.00219966295049801,0.00201646812127694,7464.18982
"V19",0.00191593482749056,0.00019208280250874,0.000262002182090355,0.00197235458429541,0.000256802736998488,0.000141229321851656,7462.26109
"V20",0.00273007043528023,-0.000550884617692164,-0.000446050988446285,0.00232830935382275,-0.00182867405286094,-0.00278834236809498,7460.33236
"V21",0.00403177961886716,-0.00144637091535794,-0.00127418920590702,0.00312092344930053,-0.00414589446327705,-0.00589079520863207,7458.40363
"V22",0.00429741550904173,-0.00244582543545172,-0.00152748162418255,0.00299005245691701,-0.00595065326491197,-0.00764809886573488,7456.47489
"V23",0.00315677205756468,-0.00184485674632062,-0.000734001491272852,0.00204592152384135,-0.0050561979280254,-0.00700766372682749,7454.54616
"V24",0.00213290346487001,-0.00057648497022059,-0.000279334727341742,0.00150588647070403,-0.00285395913355914,-0.00496981546966674,7452.61743
"V25",0.00264137382976175,-0.00078610312233181,-0.000731899932989655,0.0021614319852069,-0.00218452517808781,-0.00305158217717451,7450.6887
"V26",0.00392960991807456,-0.00192043183337296,-0.000846081061780647,0.00335171405478247,-0.00263037715505985,-0.00154921504670987,7448.75997
"V27",0.00429221921019593,-0.00248807170873331,-0.000313701354424021,0.00368811714774699,-0.00274965848576614,-0.000570824482703392,7446.83124
"V28",0.00352433510164336,-0.00181250687383796,-0.000369081304419352,0.00310728479923899,-0.00189826516789026,-0.00018713841118118,7444.90251
"V29",0.00284848481601893,-0.000205023841919022,-0.00145375282848434,0.00266268123778267,-0.000845712036658086,-0.00139808484008419,7442.97378
"V30",0.00311433233993331,0.000980071119274617,-0.00251969513990257,0.00284551164140039,-0.00122357654578127,-0.00480871415877474,7441.04504
"V31",0.003509457124295,0.000980066876725972,-0.00243237064966059,0.00304659033603003,-0.00210680557350297,-0.00673605290588554,7439.11631
"V32",0.00329527976785648,1.22776769549465e-05,-0.00121204201872037,0.00287031607293367,-0.00193428412601355,-0.00424771139746938,7437.18758
"V33",0.00307425540993527,-0.00119465725806585,0.000184166259380723,0.00284648345882636,-0.00103673719577653,0.000344607012966381,7435.25885
"V34",0.00310054104536403,-0.00126923540008506,0.0010038245332666,0.00317340048137932,0.00033163033030453,0.00349334688393866,7433.33012
"V35",0.00283722090381727,-0.000726369123534674,0.00115839365001919,0.00309149588491434,0.00115736959522578,0.0041106213084685,7431.40139
"V36",0.00213452422031892,-0.0015412984488847,0.00128268192050512,0.00229283199570426,0.000720560886990591,0.00493574140097595,7429.47266
"V37",0.00155012348333775,-0.00317061723844762,0.00145488908768092,0.00162524391088648,0.000341921562436658,0.00766492544743058,7427.54393
"V38",0.00155975459985363,-0.00336165155161263,0.000692080667609213,0.00165400291761908,0.000428984939502433,0.0082717794022353,7425.6152
"V39",0.00224432504121172,-0.00120474739615116,-0.000644543334077032,0.00244246714414876,0.000901872628144544,0.00459698421786144,7423.68646
"V40",0.00327308658378321,0.00163674381978773,-0.0010748474961856,0.00362503843741753,0.00160196010092004,-7.59036773737848e-05,7421.75773
"V41",0.00371900282641904,0.00216524736472957,-0.000731019636854215,0.00389164277447802,0.000785795857471879,-0.00301018538466082,7419.829
"V42",0.00317668201586693,0.000542706734953986,-0.000513645837313101,0.00291412856208992,-0.00119505026885451,-0.00379206569236738,7417.90027
"V43",0.00239274728776875,0.000339993876304786,1.83871477331602e-05,0.00211359216314872,-0.00127061519065988,-0.00351460841375817,7415.97154
"V44",0.0019118731388929,0.00213620830951074,0.000802612670542465,0.00199915141251097,0.000397259768827918,-0.00379466581775453,7414.04281
"V45",0.00153332727568713,0.00316889842269516,0.000244578126280053,0.00179471314174378,0.00118973582336141,-0.00431885158632756,7412.11408
"V46",0.00110904500221698,0.00263199492874947,-0.00165187750671946,0.00136813152769275,0.00117927003995676,-0.00317007970571594,7410.18535
"V47",0.000645308286296306,0.00111527753122259,-0.00285630637005447,0.000962458388903745,0.00144355486448924,0.000716354018619454,7408.25661
"V48",0.000397806117000648,-0.00113211343555647,-0.00238425175333001,0.000675167053245857,0.00126244868106396,0.00522532024372699,7406.32788
"V49",0.000905363489187759,-0.00283270034620002,-0.000825753120478652,0.000968826382072164,0.000288860596243406,0.00681174878336333,7404.39915
"V50",0.00226324797458445,-0.00328328640244712,0.000374018927181619,0.00205550465586212,-0.000945573959589577,0.00510126509848743,7402.47042
"V51",0.00399100191170417,-0.00348050034199554,-0.0002285974906862,0.00346539805754536,-0.00239236246252892,0.00237449212533599,7400.54169
"V52",0.00499357558657329,-0.00348231357406711,-0.00168227370261036,0.00428490043662359,-0.00322563811785608,0.000560107189576789,7398.61296
"V53",0.00436911340615468,-0.00234669572977514,-0.0016326073384698,0.00389790942436039,-0.00214475352362657,0.000440670421755561,7396.68423
"V54",0.00297825683581283,-0.00110144888513163,-0.00033161333612408,0.00294064932996215,-0.000171176037988722,0.00203000519661855,7394.7555
"V55",0.00212294277634515,-0.0019203544559565,0.00012901147075457,0.00217305726145006,0.000228103374899745,0.00468828105082164,7392.82676
"V56",0.00204040720820046,-0.00456333061368227,-0.000670841041363527,0.00166425229703616,-0.00171212384088316,0.00622179243776965,7390.89803
"V57",0.00267976805253346,-0.00655409145434228,-0.000982660956600098,0.00186086926878824,-0.0037273370340445,0.00616843346593715,7388.9693
"V58",0.00333952003798957,-0.00584134334449283,0.000429907347399023,0.0027328584446327,-0.00276130856332427,0.00672113201061489,7387.04057
"V59",0.00293364498687214,-0.003004066460324,0.00211766325781633,0.00309935005118969,0.000754230724503919,0.0082012098268472,7385.11184
"V60",0.00189544216861972,-0.00074223332121399,0.00242861307840449,0.0026451082503756,0.00341221431165917,0.00906567391460862,7383.18311
"V61",0.00138825854854797,-0.000554464512394354,0.00261604115461702,0.00228741653701437,0.0040926484889133,0.0101407491048473,7381.25438
"V62",0.00164913649261139,-0.00153533766028367,0.00392619380537458,0.00258617925497709,0.00426508655279153,0.0126574599390902,7379.32565
"V63",0.00208540923995066,-0.00175732996076404,0.00473824253266302,0.00305954767581779,0.00443393291132721,0.0135103328475909,7377.39691
"V64",0.0020094929561312,-0.000452889323895987,0.00372571150697402,0.00294602009287451,0.00426273960770357,0.0102902619009811,7375.46818
"V65",0.00154851032812997,0.00115140760519889,0.00174196418164365,0.00236883524016809,0.00373382826459331,0.00563525784346629,7373.53945
"V66",0.00130986423217861,0.00158455583898839,-0.000122291516054883,0.00196077791586544,0.00296272839492594,0.00300739450687258,7371.61072
"V67",0.00128541037986968,0.000293444260252091,-0.00163828450115973,0.00161471942603242,0.00149889806624761,0.00263049437374216,7369.68199
"V68",0.000977147056721823,-0.00251006163684553,-0.0026345662053446,0.000740039200900583,-0.00107923092524749,0.00312230308446188,7367.75326
"V69",0.000394803028918148,-0.00533982899482113,-0.00236600830678238,-0.000259667004087829,-0.00297891563660508,0.00515189323289846,7365.82453
"V70",9.24690861998737e-05,-0.00612426236784373,-0.00104088211397957,-0.000470629749449908,-0.00256302632951252,0.00777119066347106,7363.8958
"V71",0.00013521692537389,-0.00464260038181289,-6.42664006081014e-05,-8.3264229079801e-05,-0.000994448782194562,0.00796085441816599,7361.96706
"V72",0.000461208465252693,-0.00285149384971148,0.000164785076062365,0.00060283942811556,0.000644653946891677,0.00762915763590018,7360.03833
