"","loadings_1","loadings_2","loadings_3","weighted_loading_1","weighted_loading_2","weighted_loading_3","wavenumber"
"V1",-0.00151499498251513,0.00226347030355513,-0.00620284389086385,-0.00213116175761973,-0.00371503019472584,-0.0100615817777911,7496.97825
"V2",0.000676686362439125,0.00216239847054654,-0.00373197148952992,0.000250888343213231,-0.00256724731386257,-0.007959808291979,7495.04952
"V3",0.00273981030027232,0.0018674304511231,-0.00268409612870798,0.00247899933582527,-0.00157249732894452,-0.00578926349153902,7493.12079
"V4",0.00335854510738893,0.000990566015802581,-0.00208776928517665,0.00312825536241462,-0.00138847693624836,-0.00400383594880036,7491.19206
"V5",0.003314250268494,-0.00115401029353507,-2.42042558402402e-05,0.00309271174819032,-0.00133571352022891,-0.000305799401571389,7489.26333
"V6",0.00338437777226149,-0.0016423237204323,0.00128853216207212,0.00327442939078839,-0.000662907468460108,0.00164831912559837,7487.33459
"V7",0.00299884746491992,0.000227718649471604,-6.61076375650301e-05,0.00291766473013753,-0.000489471881952456,-0.00120700352609413,7485.40586
"V8",0.00168684380196688,0.00236039449847387,-0.00331945065003625,0.00138401757349163,-0.00182581831412368,-0.0070452319214991,7483.47713
"V9",0.000245226139678513,0.00399341879135721,-0.00672297985628683,-0.000342129105517672,-0.00354131796633144,-0.0126806663449157,7481.5484
"V10",-0.00044046334163063,0.00390267748837647,-0.00861242364999799,-0.00124842043812741,-0.00487138406484026,-0.0147664013520526,7479.61967
"V11",-0.000336819240868488,0.0019006215114044,-0.00851459352536802,-0.00128181437666685,-0.00569762214582893,-0.0127875459652162,7477.69094
"V12",0.00014946160966469,0.000254886531125193,-0.00737985597097421,-0.000820099991663111,-0.00584573977389165,-0.010267114719037,7475.76221
"V13",0.0003362184515532,4.62784981082993e-05,-0.00589152837586088,-0.00048752065935495,-0.00496653794596583,-0.00843637340226205,7473.83348
"V14",-5.84650844092291e-05,0.00161725101133534,-0.00444266455162901,-0.000422745200039517,-0.00219633982808469,-0.00641812376011223,7471.90474
"V15",-3.79542376291059e-05,0.00390704867987063,-0.00303457558554389,0.000206369236387261,0.00147308994889741,-0.00409625705015789,7469.97601
"V16",0.000978542094601846,0.00417474599263612,-0.000924726157377551,0.00158051131952212,0.00362942946168247,-0.000917746326616383,7468.04728
"V17",0.00183417745431982,0.0025380703497889,0.000658920067954274,0.00238665790053949,0.00333104870731349,0.0013345514639576,7466.11855
"V18",0.00167005192638199,0.000929449979319249,-0.000181394104917217,0.0018567167902771,0.00112545115005104,0.000329862280420941,7464.18982
"V19",0.00138163698630287,0.000179275528257016,-0.00169685146758017,0.00118160905186636,-0.00120602058767957,-0.00233139901233765,7462.26109
"V20",0.00235680527466129,0.000226141079113886,-0.00113322860963127,0.0019837478392447,-0.00224926057836266,-0.00416600386948892,7460.33236
"V21",0.00403696933686629,1.09383415554152e-05,0.000154695165519388,0.00350305448553217,-0.00321911189350009,-0.00543604781763073,7458.40363
"V22",0.00417001433764921,-0.000127681158042237,-0.000699729235016046,0.00339818022051049,-0.00465358920075355,-0.0076169256661593,7456.47489
"V23",0.00244432851195846,0.000949022240685978,-0.00222759541166989,0.00169671971829583,-0.00450752840710656,-0.0091831606576281,7454.54616
"V24",0.00126748430345223,0.00160880757975574,-0.00161166963994574,0.000776473250428534,-0.00296043370338737,-0.00768985380966728,7452.61743
"V25",0.00215244836418354,0.000497174153988818,2.80445291664013e-05,0.00180487903601454,-0.00209558613200007,-0.00436351383682035,7450.6887
"V26",0.00384300904233561,-0.00110630498298713,0.00117747867246035,0.00348806754074068,-0.00214003488838332,-0.00173972687336612,7448.75997
"V27",0.0046552821432039,-0.00208293679045279,0.00271059003767684,0.00430322511261968,-0.00212264366033671,-6.68251041531273e-05,7446.83124
"V28",0.00437286050253726,-0.00210632887392174,0.00444533563489081,0.00415352420012567,-0.00132243577417864,0.00131926133156287,7444.90251
"V29",0.00378344311647052,-0.00103205912425678,0.00516719939948181,0.00371886508663507,-0.000389357785015072,0.00108164113816428,7442.97378
"V30",0.00372785682570427,0.000449627984978844,0.00509467625120456,0.00365231682470194,-0.000455450368263796,-0.00152321135861372,7441.04504
"V31",0.00381608979530802,0.00135543639109062,0.00457216143675915,0.00372135403431097,-0.000571186611878944,-0.00324243092476543,7439.11631
"V32",0.00360831728687233,0.000811273516414538,0.00407378792025459,0.00360267511397712,-3.40181319676696e-05,-0.00142259268000846,7437.18758
"V33",0.00362518158549674,-0.000940144921269997,0.00421073456180164,0.00368055701043255,0.000333872879866607,0.00214412197442877,7435.25885
"V34",0.0036173223364814,-0.00172061658549039,0.00411867234751882,0.00375374393864368,0.000822521420697678,0.00428000148679882,7433.33012
"V35",0.0031283993671759,-0.00115623455036519,0.00401174260834418,0.00341370015355928,0.00172015285279434,0.0048408471471767,7431.40139
"V36",0.00276348137892365,-0.0014781488648926,0.00529002311021805,0.00319735058857041,0.00261591062602478,0.00689014149665983,7429.47266
"V37",0.00280373902364758,-0.00279665550565523,0.00606563587996385,0.00332100934822641,0.00311875770049395,0.00995540834030361,7427.54393
"V38",0.0026446978894698,-0.00267840609074884,0.00399297507888906,0.00307041815260411,0.00256677850210619,0.00882743987991565,7425.6152
"V39",0.00240484554106088,-0.000164250000883324,0.00135389260853684,0.00271911464925488,0.00189481042046135,0.00346531790383382,7423.68646
"V40",0.00254060173200654,0.00317512010085225,-0.000233357241145846,0.00289662433734558,0.00214655314482829,-0.00173103783213608,7421.75773
"V41",0.00267629005083931,0.00431267261256783,-0.0015850027825392,0.00292224923245631,0.00148295205664425,-0.00476230867420824,7419.829
"V42",0.00258021738612238,0.00195217395411208,-0.00102380838608911,0.00243339861751703,-0.000885208648955087,-0.00477520359893771,7417.90027
"V43",0.00216324647339687,0.000248068981061088,0.00111086711766888,0.00185231462783783,-0.00187468919361574,-0.00357251872357071,7415.97154
"V44",0.00132290473416338,0.00219791783599647,0.00159648258315687,0.0012731619083975,-0.000299912470385705,-0.00420375040563027,7414.04281
"V45",0.000718122508286812,0.0039159908989401,0.00173666717585965,0.000906216720456271,0.0011340690635974,-0.00468186530280823,7412.11408
"V46",0.000782579180444668,0.00260897225651318,0.00388280601798431,0.00104323926261778,0.00157158762036213,-0.00174587764183665,7410.18535
"V47",0.00103638317235125,8.22920499558163e-05,0.00584748081738059,0.00140945545411712,0.00224935009087462,0.00364707366039257,7408.25661
"V48",0.00135864291714475,-0.00200616358650113,0.00567326265491612,0.00181192463504116,0.00273295370140087,0.00797574846075204,7406.32788
"V49",0.00201067071309896,-0.00262693405554977,0.00438729295769756,0.00241519795693233,0.00243900026121188,0.00852576869796564,7404.39915
